ID_LOJA,NOME_LOJA,DATA,CONTAGEM_CLIENTES,VENDAS
510,ITACOATIARA,2023-01-31,3724,953
510,ITACOATIARA,2023-02-17,2595,583
510,ITACOATIARA,2023-12-29,2777,698
510,ITACOATIARA,2023-11-20,1884,482
510,ITACOATIARA,2024-10-11,2127,657
510,ITACOATIARA,2024-01-18,3470,847
510,ITACOATIARA,2024-03-26,2222,541
510,ITACOATIARA,2025-04-10,1903,473
510,ITACOATIARA,2024-09-16,1922,396
510,ITACOATIARA,2022-10-01,0,987
510,ITACOATIARA,2022-09-15,2053,504
510,ITACOATIARA,2024-11-07,2722,706
510,ITACOATIARA,2023-07-25,2175,531
510,ITACOATIARA,2024-01-08,3002,747
510,ITACOATIARA,2025-06-22,530,122
510,ITACOATIARA,2022-11-28,3101,760
510,ITACOATIARA,2023-10-05,2392,687
510,ITACOATIARA,2024-01-31,3242,955
510,ITACOATIARA,2024-09-15,528,177
510,ITACOATIARA,2022-10-18,2678,589
510,ITACOATIARA,2025-01-25,1546,395
510,ITACOATIARA,2025-04-22,2009,536
510,ITACOATIARA,2025-02-24,2345,554
510,ITACOATIARA,2023-11-18,2866,776
510,ITACOATIARA,2023-10-30,3143,792
510,ITACOATIARA,2024-04-29,3657,1015
510,ITACOATIARA,2024-02-11,463,159
510,ITACOATIARA,2024-05-20,1528,496
510,ITACOATIARA,2025-04-11,1969,428
510,ITACOATIARA,2024-10-03,2070,525
510,ITACOATIARA,2023-04-10,2902,666
510,ITACOATIARA,2023-05-05,3066,823
510,ITACOATIARA,2025-04-24,2149,493
510,ITACOATIARA,2024-05-10,1788,636
510,ITACOATIARA,2023-02-20,2115,579
510,ITACOATIARA,2022-10-25,2908,653
510,ITACOATIARA,2023-10-12,1713,537
510,ITACOATIARA,2024-03-29,1002,298
510,ITACOATIARA,2024-05-19,349,156
510,ITACOATIARA,2025-08-06,2298,650
510,ITACOATIARA,2022-09-12,2814,626
510,ITACOATIARA,2025-01-18,2948,641
510,ITACOATIARA,2023-09-07,1138,336
510,ITACOATIARA,2025-05-26,2147,483
510,ITACOATIARA,2024-09-08,764,239
510,ITACOATIARA,2024-06-08,2094,600
510,ITACOATIARA,2022-11-22,2600,634
510,ITACOATIARA,2023-07-09,591,190
510,ITACOATIARA,2024-03-09,1843,442
510,ITACOATIARA,2024-03-23,1489,412
510,ITACOATIARA,2024-10-23,1652,416
510,ITACOATIARA,2024-06-24,2090,565
510,ITACOATIARA,2024-06-23,509,136
510,ITACOATIARA,2025-02-21,2108,506
510,ITACOATIARA,2023-04-27,3120,836
510,ITACOATIARA,2025-08-15,1773,427
510,ITACOATIARA,2022-11-08,3548,765
510,ITACOATIARA,2022-11-24,2233,501
510,ITACOATIARA,2024-12-19,2105,631
510,ITACOATIARA,2024-05-21,1495,483
510,ITACOATIARA,2023-09-22,2038,526
510,ITACOATIARA,2023-08-10,1805,439
510,ITACOATIARA,2022-08-21,543,150
510,ITACOATIARA,2025-01-04,1884,484
510,ITACOATIARA,2023-09-06,3077,935
510,ITACOATIARA,2023-07-08,2030,637
510,ITACOATIARA,2023-03-19,535,149
510,ITACOATIARA,2024-10-27,478,135
510,ITACOATIARA,2022-07-08,2235,659
510,ITACOATIARA,2024-09-28,2400,711
510,ITACOATIARA,2025-01-06,2786,720
510,ITACOATIARA,2022-10-13,2415,527
510,ITACOATIARA,2023-12-20,2672,722
510,ITACOATIARA,2024-04-22,2247,587
510,ITACOATIARA,2024-04-12,1495,366
510,ITACOATIARA,2024-03-08,2284,580
510,ITACOATIARA,2023-03-01,3719,972
510,ITACOATIARA,2024-02-10,1754,442
510,ITACOATIARA,2025-05-14,1399,352
510,ITACOATIARA,2024-03-10,579,156
510,ITACOATIARA,2022-09-02,2834,780
510,ITACOATIARA,2024-01-12,1511,409
510,ITACOATIARA,2024-11-23,2018,503
510,ITACOATIARA,2025-06-09,2501,637
510,ITACOATIARA,2025-06-10,2023,519
510,ITACOATIARA,2022-07-13,1728,457
510,ITACOATIARA,2022-12-14,0,614
510,ITACOATIARA,2023-01-03,3052,825
510,ITACOATIARA,2024-12-05,2320,606
510,ITACOATIARA,2025-01-31,3103,850
510,ITACOATIARA,2022-10-12,2665,753
510,ITACOATIARA,2024-11-04,4337,903
510,ITACOATIARA,2023-04-26,3010,830
510,ITACOATIARA,2023-06-26,2282,579
510,ITACOATIARA,2023-05-11,1947,557
510,ITACOATIARA,2024-10-16,1558,398
510,ITACOATIARA,2024-01-16,1744,423
510,ITACOATIARA,2024-02-12,1797,408
510,ITACOATIARA,2024-02-13,439,102
510,ITACOATIARA,2022-10-08,0,654
510,ITACOATIARA,2022-12-29,2879,754
510,ITACOATIARA,2022-12-04,808,257
510,ITACOATIARA,2023-07-28,3107,907
510,ITACOATIARA,2023-05-07,705,237
510,ITACOATIARA,2024-08-07,2457,641
510,ITACOATIARA,2024-11-08,2569,658
510,ITACOATIARA,2022-08-12,2303,619
510,ITACOATIARA,2023-02-07,2644,684
510,ITACOATIARA,2023-10-07,2278,684
510,ITACOATIARA,2024-01-13,1387,342
510,ITACOATIARA,2024-03-06,2302,661
510,ITACOATIARA,2024-08-17,1528,406
510,ITACOATIARA,2025-05-01,1414,347
510,ITACOATIARA,2025-03-13,1692,401
510,ITACOATIARA,2024-06-16,487,153
510,ITACOATIARA,2023-04-23,675,201
510,ITACOATIARA,2024-02-15,2066,479
510,ITACOATIARA,2022-09-20,2785,391
510,ITACOATIARA,2023-05-30,3243,861
510,ITACOATIARA,2024-09-05,1157,313
510,ITACOATIARA,2023-11-28,2468,571
510,ITACOATIARA,2023-04-15,1769,484
510,ITACOATIARA,2025-01-12,297,77
510,ITACOATIARA,2022-10-02,0,214
510,ITACOATIARA,2024-11-29,3308,932
510,ITACOATIARA,2024-12-28,2177,591
510,ITACOATIARA,2024-12-21,2285,640
510,ITACOATIARA,2023-07-15,1713,450
510,ITACOATIARA,2023-05-17,1657,388
510,ITACOATIARA,2023-02-26,651,182
510,ITACOATIARA,2022-11-13,807,260
510,ITACOATIARA,2023-11-21,3189,770
510,ITACOATIARA,2023-04-20,2360,696
510,ITACOATIARA,2022-08-15,2349,588
510,ITACOATIARA,2022-12-30,3498,927
510,ITACOATIARA,2022-07-03,660,194
510,ITACOATIARA,2023-12-22,2813,847
510,ITACOATIARA,2024-02-17,2032,448
510,ITACOATIARA,2024-08-21,1753,429
510,ITACOATIARA,2024-11-25,2332,509
510,ITACOATIARA,2025-05-18,558,182
510,ITACOATIARA,2022-10-06,0,728
510,ITACOATIARA,2022-11-09,2838,554
510,ITACOATIARA,2023-12-18,2529,689
510,ITACOATIARA,2023-10-10,2205,536
510,ITACOATIARA,2024-11-26,2174,522
510,ITACOATIARA,2024-04-20,1825,499
510,ITACOATIARA,2024-03-18,2029,519
510,ITACOATIARA,2024-04-27,2142,734
510,ITACOATIARA,2023-07-04,3017,778
510,ITACOATIARA,2024-01-11,1719,432
510,ITACOATIARA,2024-06-05,2652,651
510,ITACOATIARA,2025-05-25,518,149
510,ITACOATIARA,2022-07-19,1885,454
510,ITACOATIARA,2022-09-18,613,180
510,ITACOATIARA,2023-08-01,3198,849
510,ITACOATIARA,2023-05-23,1963,514
510,ITACOATIARA,2023-10-29,674,167
510,ITACOATIARA,2023-03-31,3796,933
510,ITACOATIARA,2023-06-14,1525,397
510,ITACOATIARA,2023-05-28,707,227
510,ITACOATIARA,2024-03-04,2744,703
510,ITACOATIARA,2024-03-28,2884,798
510,ITACOATIARA,2024-05-18,1296,462
510,ITACOATIARA,2025-05-30,3618,1017
510,ITACOATIARA,2022-12-10,2636,724
510,ITACOATIARA,2023-01-22,509,149
510,ITACOATIARA,2024-12-31,2792,524
510,ITACOATIARA,2025-03-06,3082,783
510,ITACOATIARA,2024-07-10,1672,421
510,ITACOATIARA,2025-01-27,2224,551
510,ITACOATIARA,2023-08-30,2827,879
510,ITACOATIARA,2023-09-30,2951,942
510,ITACOATIARA,2022-08-19,2222,554
510,ITACOATIARA,2023-02-18,1976,491
510,ITACOATIARA,2023-04-04,2636,703
510,ITACOATIARA,2023-11-11,2273,673
510,ITACOATIARA,2023-03-22,2042,490
510,ITACOATIARA,2025-06-14,1664,412
510,ITACOATIARA,2025-07-02,2543,614
510,ITACOATIARA,2022-08-25,1818,495
510,ITACOATIARA,2025-03-05,1529,432
510,ITACOATIARA,2024-11-30,4047,1221
510,ITACOATIARA,2025-02-04,2214,558
510,ITACOATIARA,2025-02-02,543,153
510,ITACOATIARA,2023-03-05,766,129
510,ITACOATIARA,2024-09-24,1703,440
510,ITACOATIARA,2024-05-28,2596,720
510,ITACOATIARA,2024-11-27,2167,479
510,ITACOATIARA,2024-07-16,1555,362
510,ITACOATIARA,2025-02-19,2076,478
510,ITACOATIARA,2023-08-27,561,167
510,ITACOATIARA,2023-05-21,557,120
510,ITACOATIARA,2024-01-22,2942,691
510,ITACOATIARA,2024-09-06,3030,822
510,ITACOATIARA,2024-09-01,796,282
510,ITACOATIARA,2025-05-02,3409,918
510,ITACOATIARA,2025-05-15,1653,369
510,ITACOATIARA,2023-02-16,2219,516
510,ITACOATIARA,2022-12-28,2953,626
510,ITACOATIARA,2022-11-29,4409,1024
510,ITACOATIARA,2022-07-24,450,143
510,ITACOATIARA,2024-08-06,2466,730
510,ITACOATIARA,2023-10-11,2228,633
510,ITACOATIARA,2023-05-12,2217,558
510,ITACOATIARA,2024-03-13,1616,318
510,ITACOATIARA,2024-05-24,2108,553
510,ITACOATIARA,2025-07-09,1848,477
510,ITACOATIARA,2022-09-13,2086,524
510,ITACOATIARA,2023-02-21,741,187
510,ITACOATIARA,2025-02-11,1923,478
510,ITACOATIARA,2023-08-31,3200,981
510,ITACOATIARA,2023-08-15,504,376
510,ITACOATIARA,2023-03-11,1868,472
510,ITACOATIARA,2024-06-29,1254,397
510,ITACOATIARA,2022-08-29,2188,582
510,ITACOATIARA,2022-07-14,1434,403
510,ITACOATIARA,2022-07-21,1986,469
510,ITACOATIARA,2025-01-30,2357,651
510,ITACOATIARA,2023-09-11,2729,633
510,ITACOATIARA,2023-08-09,1898,508
510,ITACOATIARA,2023-05-27,2239,666
510,ITACOATIARA,2025-03-21,2203,518
510,ITACOATIARA,2025-02-06,2293,583
510,ITACOATIARA,2024-05-05,672,212
510,ITACOATIARA,2022-11-23,2473,603
510,ITACOATIARA,2025-01-02,2525,680
510,ITACOATIARA,2025-02-22,1628,402
510,ITACOATIARA,2023-08-04,2434,702
510,ITACOATIARA,2023-11-16,1954,481
510,ITACOATIARA,2024-02-09,2001,508
510,ITACOATIARA,2025-07-17,1566,348
510,ITACOATIARA,2022-12-01,3648,827
510,ITACOATIARA,2023-05-19,2163,541
510,ITACOATIARA,2022-09-07,903,275
510,ITACOATIARA,2024-05-01,1281,381
510,ITACOATIARA,2024-05-23,1853,544
510,ITACOATIARA,2023-01-09,2779,621
510,ITACOATIARA,2023-12-24,1082,311
510,ITACOATIARA,2023-12-16,1875,547
510,ITACOATIARA,2023-09-28,2429,715
510,ITACOATIARA,2024-04-04,2362,646
510,ITACOATIARA,2022-11-26,2564,709
510,ITACOATIARA,2023-01-12,1991,471
510,ITACOATIARA,2023-05-10,1958,481
510,ITACOATIARA,2023-09-14,1548,395
510,ITACOATIARA,2024-10-02,2463,629
510,ITACOATIARA,2024-08-24,1653,403
510,ITACOATIARA,2024-03-17,493,136
510,ITACOATIARA,2022-08-23,1928,487
510,ITACOATIARA,2024-12-20,2220,714
510,ITACOATIARA,2024-08-23,1994,482
510,ITACOATIARA,2023-04-17,2051,517
510,ITACOATIARA,2023-03-20,2444,589
510,ITACOATIARA,2024-08-25,478,164
510,ITACOATIARA,2023-12-12,2848,697
510,ITACOATIARA,2025-03-14,1588,436
510,ITACOATIARA,2025-02-18,2263,548
510,ITACOATIARA,2023-08-14,1830,438
510,ITACOATIARA,2023-06-07,2954,756
510,ITACOATIARA,2024-01-17,1564,370
510,ITACOATIARA,2024-02-26,2303,521
510,ITACOATIARA,2024-08-29,2902,882
510,ITACOATIARA,2025-02-27,2437,555
510,ITACOATIARA,2025-01-14,1651,395
510,ITACOATIARA,2022-10-21,2716,637
510,ITACOATIARA,2023-10-24,1872,465
510,ITACOATIARA,2024-01-23,2145,526
510,ITACOATIARA,2024-09-26,1919,437
510,ITACOATIARA,2023-08-26,2160,642
510,ITACOATIARA,2023-11-27,2525,674
510,ITACOATIARA,2024-09-22,468,139
510,ITACOATIARA,2023-02-14,2148,520
510,ITACOATIARA,2025-03-07,3213,732
510,ITACOATIARA,2025-03-18,1873,497
510,ITACOATIARA,2023-11-02,957,326
510,ITACOATIARA,2023-03-02,3384,919
510,ITACOATIARA,2024-11-12,2102,573
510,ITACOATIARA,2024-07-31,2836,849
510,ITACOATIARA,2023-02-25,2159,543
510,ITACOATIARA,2023-02-24,3151,676
510,ITACOATIARA,2022-07-07,2604,790
510,ITACOATIARA,2024-11-14,3334,800
510,ITACOATIARA,2023-12-11,4015,850
510,ITACOATIARA,2023-08-29,2711,643
510,ITACOATIARA,2024-02-20,2138,507
510,ITACOATIARA,2025-05-28,2871,790
510,ITACOATIARA,2023-01-30,3498,826
510,ITACOATIARA,2024-10-31,2585,641
510,ITACOATIARA,2023-03-24,2235,519
510,ITACOATIARA,2023-03-04,2565,704
510,ITACOATIARA,2024-10-13,707,205
510,ITACOATIARA,2024-07-27,2181,602
510,ITACOATIARA,2025-07-29,2338,577
510,ITACOATIARA,2024-07-12,1505,345
510,ITACOATIARA,2025-02-13,1617,388
510,ITACOATIARA,2023-08-18,1941,428
510,ITACOATIARA,2024-07-02,3271,816
510,ITACOATIARA,2025-08-13,1536,376
510,ITACOATIARA,2025-07-19,1684,409
510,ITACOATIARA,2023-11-05,637,169
510,ITACOATIARA,2023-05-18,1864,459
510,ITACOATIARA,2024-10-24,1711,405
510,ITACOATIARA,2024-07-06,2101,557
510,ITACOATIARA,2022-12-15,0,594
510,ITACOATIARA,2025-04-28,3609,820
510,ITACOATIARA,2025-07-08,2230,605
510,ITACOATIARA,2024-10-07,3071,796
510,ITACOATIARA,2024-08-08,2103,572
510,ITACOATIARA,2024-09-10,2480,581
510,ITACOATIARA,2022-07-11,2076,588
510,ITACOATIARA,2022-09-24,1934,554
510,ITACOATIARA,2023-12-14,1912,515
510,ITACOATIARA,2023-07-30,826,278
510,ITACOATIARA,2025-06-19,782,189
510,ITACOATIARA,2024-04-21,379,121
510,ITACOATIARA,2025-07-05,2147,640
510,ITACOATIARA,2023-02-12,516,132
510,ITACOATIARA,2023-01-08,700,183
510,ITACOATIARA,2023-03-09,2201,581
510,ITACOATIARA,2023-06-19,1851,415
510,ITACOATIARA,2024-06-03,3221,824
510,ITACOATIARA,2024-11-18,3079,724
510,ITACOATIARA,2025-07-23,1666,424
510,ITACOATIARA,2025-07-20,452,128
510,ITACOATIARA,2022-07-01,3334,934
510,ITACOATIARA,2023-02-06,3586,881
510,ITACOATIARA,2024-12-13,2044,517
510,ITACOATIARA,2023-08-19,1626,439
510,ITACOATIARA,2024-04-26,3490,1044
510,ITACOATIARA,2024-04-30,3893,1102
510,ITACOATIARA,2024-03-20,2041,538
510,ITACOATIARA,2024-05-07,2756,671
510,ITACOATIARA,2023-01-20,2479,639
510,ITACOATIARA,2023-06-29,1946,602
510,ITACOATIARA,2025-07-07,2873,744
510,ITACOATIARA,2024-11-20,1533,325
510,ITACOATIARA,2023-09-24,526,138
510,ITACOATIARA,2023-06-11,632,176
510,ITACOATIARA,2024-11-16,2309,663
510,ITACOATIARA,2025-02-08,2059,588
510,ITACOATIARA,2024-07-26,2446,670
510,ITACOATIARA,2023-03-07,2782,633
510,ITACOATIARA,2024-03-02,2253,630
510,ITACOATIARA,2025-06-25,1933,459
510,ITACOATIARA,2022-10-07,0,811
510,ITACOATIARA,2022-09-19,2232,560
510,ITACOATIARA,2025-01-15,1676,418
510,ITACOATIARA,2024-10-08,2578,711
510,ITACOATIARA,2024-11-13,1785,417
510,ITACOATIARA,2022-07-17,516,168
510,ITACOATIARA,2024-03-14,1667,378
510,ITACOATIARA,2023-12-31,1164,288
510,ITACOATIARA,2023-12-01,2746,744
510,ITACOATIARA,2023-03-28,2412,510
510,ITACOATIARA,2024-01-06,2106,628
510,ITACOATIARA,2024-06-11,1952,489
510,ITACOATIARA,2025-08-21,1802,479
510,ITACOATIARA,2025-08-18,1950,496
510,ITACOATIARA,2025-08-07,2414,594
510,ITACOATIARA,2022-07-05,2637,728
510,ITACOATIARA,2024-10-05,2091,631
510,ITACOATIARA,2023-12-17,585,179
510,ITACOATIARA,2025-04-14,1783,432
510,ITACOATIARA,2024-03-25,2316,540
510,ITACOATIARA,2022-10-11,2897,776
510,ITACOATIARA,2023-01-11,1881,491
510,ITACOATIARA,2024-12-02,3422,781
510,ITACOATIARA,2023-07-01,2826,832
510,ITACOATIARA,2025-06-18,1747,448
510,ITACOATIARA,2023-01-16,2063,512
510,ITACOATIARA,2022-12-03,2831,800
510,ITACOATIARA,2023-08-24,1892,526
510,ITACOATIARA,2023-10-04,2593,670
510,ITACOATIARA,2023-07-06,2734,688
510,ITACOATIARA,2025-06-03,2597,659
510,ITACOATIARA,2025-05-08,2561,646
510,ITACOATIARA,2022-11-03,3913,1109
510,ITACOATIARA,2022-12-07,3065,714
510,ITACOATIARA,2023-10-31,2708,706
510,ITACOATIARA,2023-06-12,2349,691
510,ITACOATIARA,2023-08-03,2324,621
510,ITACOATIARA,2023-06-08,1118,317
510,ITACOATIARA,2023-11-04,1917,587
510,ITACOATIARA,2024-09-18,2497,560
510,ITACOATIARA,2024-07-03,2725,693
510,ITACOATIARA,2024-12-30,4238,1008
510,ITACOATIARA,2024-10-25,2231,535
510,ITACOATIARA,2024-03-01,3228,911
510,ITACOATIARA,2024-08-13,1815,403
510,ITACOATIARA,2023-02-05,729,200
510,ITACOATIARA,2023-11-17,4026,945
510,ITACOATIARA,2023-05-01,1151,307
510,ITACOATIARA,2023-07-27,2297,570
510,ITACOATIARA,2024-04-09,1894,471
510,ITACOATIARA,2025-07-15,1638,389
510,ITACOATIARA,2024-08-09,2034,576
510,ITACOATIARA,2024-07-28,499,173
510,ITACOATIARA,2025-03-10,2841,647
510,ITACOATIARA,2022-12-22,509,879
510,ITACOATIARA,2023-04-02,320,102
510,ITACOATIARA,2023-09-03,675,183
510,ITACOATIARA,2022-09-25,487,165
510,ITACOATIARA,2022-10-03,0,1050
510,ITACOATIARA,2025-03-16,597,176
510,ITACOATIARA,2023-10-26,2190,533
510,ITACOATIARA,2024-02-27,2374,563
510,ITACOATIARA,2024-11-19,2334,551
510,ITACOATIARA,2022-08-20,1666,493
510,ITACOATIARA,2024-06-14,1659,462
510,ITACOATIARA,2025-03-27,1945,456
510,ITACOATIARA,2023-07-22,1594,452
510,ITACOATIARA,2023-06-01,3178,866
510,ITACOATIARA,2024-10-04,2755,796
510,ITACOATIARA,2024-05-08,2602,699
510,ITACOATIARA,2025-04-08,2300,598
510,ITACOATIARA,2022-07-27,2160,518
510,ITACOATIARA,2023-08-17,1667,380
510,ITACOATIARA,2023-06-17,1711,416
510,ITACOATIARA,2024-10-29,2646,607
510,ITACOATIARA,2025-04-29,3069,819
510,ITACOATIARA,2022-07-31,848,293
510,ITACOATIARA,2024-06-25,2213,540
510,ITACOATIARA,2023-11-30,2750,983
510,ITACOATIARA,2024-05-26,469,141
510,ITACOATIARA,2025-07-22,1810,411
510,ITACOATIARA,2023-02-03,2829,809
510,ITACOATIARA,2022-10-05,0,782
510,ITACOATIARA,2023-05-24,2031,454
510,ITACOATIARA,2023-08-12,1779,528
510,ITACOATIARA,2023-12-07,2793,669
510,ITACOATIARA,2023-11-25,2481,686
510,ITACOATIARA,2025-04-23,1815,426
510,ITACOATIARA,2024-08-15,1771,407
510,ITACOATIARA,2024-02-25,472,144
510,ITACOATIARA,2025-05-24,1652,426
510,ITACOATIARA,2025-08-02,2279,647
510,ITACOATIARA,2022-08-02,2682,753
510,ITACOATIARA,2022-08-06,2500,705
510,ITACOATIARA,2022-09-06,2847,877
510,ITACOATIARA,2023-07-10,2653,660
510,ITACOATIARA,2024-06-04,2861,686
510,ITACOATIARA,2025-01-28,1939,490
510,ITACOATIARA,2025-02-12,1427,371
510,ITACOATIARA,2024-10-30,2633,690
510,ITACOATIARA,2025-01-08,2301,621
510,ITACOATIARA,2024-01-02,2890,691
510,ITACOATIARA,2024-06-28,3782,1041
510,ITACOATIARA,2023-02-15,2769,547
510,ITACOATIARA,2022-07-04,2991,843
510,ITACOATIARA,2023-10-14,1621,377
510,ITACOATIARA,2024-01-29,2581,624
510,ITACOATIARA,2024-04-24,2094,481
510,ITACOATIARA,2025-04-26,2425,586
510,ITACOATIARA,2025-06-20,2127,525
510,ITACOATIARA,2023-02-13,2405,585
510,ITACOATIARA,2025-03-03,2424,620
510,ITACOATIARA,2024-12-23,3438,940
510,ITACOATIARA,2025-02-14,1596,441
510,ITACOATIARA,2023-12-26,2729,751
510,ITACOATIARA,2023-03-08,2035,549
510,ITACOATIARA,2024-07-08,2917,687
510,ITACOATIARA,2023-02-22,1416,345
510,ITACOATIARA,2025-03-30,620,155
510,ITACOATIARA,2023-01-15,499,124
510,ITACOATIARA,2023-11-07,2467,658
510,ITACOATIARA,2023-11-14,1903,468
510,ITACOATIARA,2024-01-04,2341,598
510,ITACOATIARA,2024-04-19,2043,528
510,ITACOATIARA,2022-10-17,2440,519
510,ITACOATIARA,2022-11-01,2830,754
510,ITACOATIARA,2022-12-20,2479,727
510,ITACOATIARA,2023-10-03,2709,635
510,ITACOATIARA,2023-10-02,3732,1005
510,ITACOATIARA,2023-03-06,3822,863
510,ITACOATIARA,2024-03-30,2582,709
510,ITACOATIARA,2024-10-09,2038,522
510,ITACOATIARA,2024-07-07,570,175
510,ITACOATIARA,2025-05-16,1654,401
510,ITACOATIARA,2025-07-27,527,144
510,ITACOATIARA,2023-02-19,585,198
510,ITACOATIARA,2022-11-06,745,233
510,ITACOATIARA,2023-06-10,1948,497
510,ITACOATIARA,2023-10-01,843,318
510,ITACOATIARA,2023-05-13,2199,638
510,ITACOATIARA,2025-07-11,1765,423
510,ITACOATIARA,2025-01-26,310,88
510,ITACOATIARA,2023-01-05,2821,768
510,ITACOATIARA,2023-07-12,1852,395
510,ITACOATIARA,2023-05-06,2491,719
510,ITACOATIARA,2024-11-11,2846,670
510,ITACOATIARA,2025-04-13,435,151
510,ITACOATIARA,2023-03-18,1937,493
510,ITACOATIARA,2024-04-23,1860,482
510,ITACOATIARA,2024-08-11,643,190
510,ITACOATIARA,2022-07-06,2572,727
510,ITACOATIARA,2023-01-29,666,192
510,ITACOATIARA,2024-02-22,2046,493
510,ITACOATIARA,2024-05-14,1327,406
510,ITACOATIARA,2022-08-17,2046,494
510,ITACOATIARA,2022-08-31,3060,974
510,ITACOATIARA,2022-11-07,2747,695
510,ITACOATIARA,2023-03-29,2791,799
510,ITACOATIARA,2024-09-13,1657,347
510,ITACOATIARA,2024-05-30,1676,488
510,ITACOATIARA,2025-05-11,923,325
510,ITACOATIARA,2023-01-06,3042,820
510,ITACOATIARA,2023-10-06,2771,804
510,ITACOATIARA,2023-06-16,1703,467
510,ITACOATIARA,2023-07-24,2082,501
510,ITACOATIARA,2023-05-16,1861,464
510,ITACOATIARA,2025-06-04,2387,598
510,ITACOATIARA,2023-07-26,2110,494
510,ITACOATIARA,2023-08-28,2736,747
510,ITACOATIARA,2024-03-24,487,154
510,ITACOATIARA,2025-04-27,722,166
510,ITACOATIARA,2025-07-26,2158,584
510,ITACOATIARA,2025-03-19,1647,374
510,ITACOATIARA,2022-12-13,0,614
510,ITACOATIARA,2024-11-22,2060,479
510,ITACOATIARA,2025-01-22,1919,475
510,ITACOATIARA,2022-10-26,2524,512
510,ITACOATIARA,2022-09-28,2658,635
510,ITACOATIARA,2023-12-03,358,95
510,ITACOATIARA,2023-05-03,2596,633
510,ITACOATIARA,2025-05-12,2120,546
510,ITACOATIARA,2024-09-19,2153,564
510,ITACOATIARA,2024-02-14,1265,362
510,ITACOATIARA,2024-06-09,550,186
510,ITACOATIARA,2025-08-08,2200,606
510,ITACOATIARA,2023-01-23,2737,663
510,ITACOATIARA,2023-12-19,2503,665
510,ITACOATIARA,2023-03-15,1988,445
510,ITACOATIARA,2024-04-02,2532,681
510,ITACOATIARA,2025-06-27,3348,807
510,ITACOATIARA,2022-11-21,3021,654
510,ITACOATIARA,2022-09-30,4835,1244
510,ITACOATIARA,2024-10-21,2641,679
510,ITACOATIARA,2023-12-27,2428,568
510,ITACOATIARA,2023-10-08,686,243
510,ITACOATIARA,2023-09-27,2211,549
510,ITACOATIARA,2023-10-20,2505,587
510,ITACOATIARA,2024-02-07,2456,607
510,ITACOATIARA,2025-07-10,1773,460
510,ITACOATIARA,2025-04-19,1938,489
510,ITACOATIARA,2024-08-12,1871,460
510,ITACOATIARA,2025-06-30,3832,913
510,ITACOATIARA,2022-12-12,0,849
510,ITACOATIARA,2022-12-17,0,550
510,ITACOATIARA,2022-12-27,2611,579
510,ITACOATIARA,2024-01-20,2151,654
510,ITACOATIARA,2024-06-21,2056,544
510,ITACOATIARA,2024-07-24,1823,453
510,ITACOATIARA,2023-12-06,2829,711
510,ITACOATIARA,2025-05-22,1680,445
