DATA,NOME_LOJA,CONTAGEM_CLIENTES,ID LOJA
2022-10-14,ITACOATIARA,2467,510
2022-10-15,ITACOATIARA,2260,510
2022-10-16,ITACOATIARA,633,510
2022-10-17,ITACOATIARA,2440,510
2022-10-18,ITACOATIARA,2678,510
2022-10-19,ITACOATIARA,2348,510
2022-10-20,ITACOATIARA,2476,510
2022-10-21,ITACOATIARA,2716,510
2022-10-22,ITACOATIARA,2513,510
2022-10-23,ITACOATIARA,619,510
2022-10-24,ITACOATIARA,2810,510
2022-10-25,ITACOATIARA,2908,510
2022-10-26,ITACOATIARA,2524,510
2022-10-27,ITACOATIARA,2261,510
2022-10-28,ITACOATIARA,3738,510
2022-10-29,ITACOATIARA,2721,510
2022-10-30,ITACOATIARA,753,510
2022-10-31,ITACOATIARA,4211,510
2022-11-01,ITACOATIARA,2830,510
2022-11-02,ITACOATIARA,0,510
2022-11-03,ITACOATIARA,3913,510
2022-11-04,ITACOATIARA,3584,510
2022-11-05,ITACOATIARA,2851,510
2022-11-06,ITACOATIARA,745,510
2022-11-07,ITACOATIARA,2747,510
2022-11-08,ITACOATIARA,3548,510
2022-11-09,ITACOATIARA,2838,510
2022-11-10,ITACOATIARA,2251,510
2022-11-11,ITACOATIARA,2353,510
2022-11-12,ITACOATIARA,2518,510
2022-11-13,ITACOATIARA,807,510
2022-11-14,ITACOATIARA,2961,510
2022-11-15,ITACOATIARA,1609,510
2022-11-16,ITACOATIARA,2770,510
2022-11-17,ITACOATIARA,2394,510
2022-11-18,ITACOATIARA,3538,510
2022-11-19,ITACOATIARA,2650,510
2022-11-20,ITACOATIARA,751,510
2022-11-21,ITACOATIARA,3021,510
2022-11-22,ITACOATIARA,2600,510
2022-11-23,ITACOATIARA,2473,510
2022-11-24,ITACOATIARA,2233,510
2022-11-25,ITACOATIARA,3607,510
2022-11-26,ITACOATIARA,2564,510
2022-11-27,ITACOATIARA,1008,510
2022-11-28,ITACOATIARA,3101,510
2022-11-29,ITACOATIARA,4409,510
2022-11-30,ITACOATIARA,4747,510
2022-12-01,ITACOATIARA,3648,510
2022-12-02,ITACOATIARA,2417,510
2022-12-03,ITACOATIARA,2831,510
2022-12-04,ITACOATIARA,808,510
2022-12-05,ITACOATIARA,3200,510
2022-12-06,ITACOATIARA,3258,510
2022-12-07,ITACOATIARA,3065,510
2022-12-08,ITACOATIARA,1338,510
2022-12-09,ITACOATIARA,2175,510
2022-12-10,ITACOATIARA,2636,510
2022-12-11,ITACOATIARA,0,510
2022-12-12,ITACOATIARA,0,510
2022-12-13,ITACOATIARA,0,510
2022-12-14,ITACOATIARA,0,510
2022-12-15,ITACOATIARA,0,510
2022-12-16,ITACOATIARA,0,510
2022-12-17,ITACOATIARA,0,510
2022-12-18,ITACOATIARA,0,510
2022-12-19,ITACOATIARA,0,510
2022-12-20,ITACOATIARA,0,510
2022-12-21,ITACOATIARA,0,510
2022-12-22,ITACOATIARA,0,510
2022-12-23,ITACOATIARA,493,510
2022-12-24,ITACOATIARA,2663,510
2022-12-25,ITACOATIARA,0,510
2022-12-26,ITACOATIARA,3051,510
2022-12-27,ITACOATIARA,2188,510
2022-12-28,ITACOATIARA,2953,510
2022-12-29,ITACOATIARA,2879,510
2022-12-30,ITACOATIARA,3306,510
2022-12-31,ITACOATIARA,2484,510
2022-12-20,ITACOATIARA,2479,510
2022-12-21,ITACOATIARA,1959,510
2022-12-22,ITACOATIARA,509,510
2022-12-23,ITACOATIARA,2737,510
2022-12-24,ITACOATIARA,2639,510
2022-12-25,ITACOATIARA,2462,510
2022-12-26,ITACOATIARA,2465,510
2022-12-27,ITACOATIARA,2611,510
2022-12-28,ITACOATIARA,2173,510
2022-12-29,ITACOATIARA,666,510
2022-12-30,ITACOATIARA,3498,510
2022-12-31,ITACOATIARA,3724,510
